,id,created_at,username,location,following,followers,retweetcount,favorite,text
0,1491928166700662811,2022-02-11 00:12:48,YogaBunnyRunner,No Name City,1755,1803,0,0,"Wordle 237 6/6 #Wordle 

That was hard!

⬜🟨🟨⬜⬜
🟨🟨⬜🟨⬜
🟨⬜🟨⬜🟨
⬜⬜🟨🟩🟩
🟨⬜⬜🟩🟩
🟩🟩🟩🟩🟩"
1,1491928159968804874,2022-02-11 00:12:46,eybyon,"Houston, TX",3629,3574,0,0,"Um, we may have a new contender for the toughest #Wordle.

Wordle 126 6/6

⬛⬛⬛⬛🟩
⬛🟨⬛⬛🟩
⬛🟨⬛⬛🟩
🟩⬛⬛⬛🟩
🟩⬛⬛🟩🟩
🟩🟩🟩🟩🟩"
2,1491928150288510980,2022-02-11 00:12:44,Oksigeno_,프사는 @very_t1red,827,422,0,0,"#한글 #워들 #Korean #Wordle https://t.co/ncprBrBD1h 32 6/6

⬜⬜⬜🟩⬜
⬜⬜⬜🟩🟨
🟩🟨⬜🟩⬜
🟩⬜🟩🟩🟨
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩"
3,1491928103186472961,2022-02-11 00:12:33,shoya0,"Seoul, Korea",264,146,0,0,"#한글 #워들 #Korean #Wordle https://t.co/NR1YFF7IRm 32 5/6

⬜⬜⬜⬜⬜
⬜⬜🟨⬜🟨
🟩⬜🟨🟨⬜
🟩⬜🟩🟩⬜
🟩🟩🟩🟩🟩"
4,1491928082466455572,2022-02-11 00:12:28,myClevertouch,London,4977,4152,0,0,Who doesn’t love a game of #Wordle?! Here’s Cody from @DataProjections getting his #wordle on #TCEA https://t.co/tlJgsNb1vi
5,1491928073582821377,2022-02-11 00:12:26,catnip,"Birmingham, UK",2641,2761,0,0,"Wordle 237 3/6

⬜🟨⬜⬜⬜
🟩⬜⬜🟩🟩
🟩🟩🟩🟩🟩

#Wordle #Wordle237"
6,1491928015332380672,2022-02-11 00:12:12,LC_KC,KCMO,745,291,0,0,Starting a new streak today since my brain failed yesterday (I had four letters all in the wrong spots and couldn’t… https://t.co/QxrfFb7dT6
7,1491927991248728066,2022-02-11 00:12:06,jimmyy_fallon,"New York, USA",5,0,88,0,RT @jimmyfallon: Who else is playing #Wordle? Addicted. https://t.co/HJ7pt7WLmn
8,1491927991001264130,2022-02-11 00:12:06,johnmadden2706,"Mount Temple, Wmeath, Ireland",600,719,0,0,"Streaks reset after migration to NYT... I wasn't imagining it so #Wordle 
https://t.co/4PdAJzQIaC"
9,1491927979915563012,2022-02-11 00:12:03,qwertyabsol,Benis :-),67,31,0,0,"#Wordle 
✨✨🥲💞💞💞💜🥲✨
🙂💙💙🙂🙂🤗🥲☺️🤗
🙂😤👌🥲🤞💙👌🤗👍🙂"
